BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log,Cluster_KMeans,Cluster_Ward,Cluster_DBSCAN
71889,Third and Long: The Football Card Game,2010,2.3333,2,2,10.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.821368637160015,0.0,0.0,0.0,2.302585092994046,1,0,0
310076,Roundforest,2020,2.0,2,4,10.0,45.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.6018680771243066,0.0,0.0,0.0,1.6094379124341005,1,0,0
13490,Ballons,2003,1.0,2,5,3.0,10.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019646365422396,1,4.0943445622221,1.791759469228055,0.0,0.0,2.079441541679836,1,0,0
209872,"Keltis (with Neue Wege, Neue Ziele)",2012,2.0,2,4,9.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.872649551122353,0.6931471805599453,0.0,0.0,1.6094379124341005,1,0,0
24254,Simulations Canada's Battleship,2005,1.5,2,2,14.0,45.0,90.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0002928257686676,0.0,0.0,1,4.189654742026425,0.0,0.6931471805599453,0.0,1.0986122886681098,1,1,0
14116,Bad Hollywood,2004,2.0,2,4,8.0,50.0,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5263605246161616,0.0,0.0,0.0,1.3862943611198906,1,0,0
40990,Word on the Street,2009,1.375,2,10,10.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,2,7.268920128193722,1.6094379124341005,0.6931471805599453,1.0986122886681098,4.653960350157523,1,0,0
8476,Le Saghe di Conquest,2001,2.0,3,10,8.0,120.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8716796248840124,0.0,0.0,0.0,1.0986122886681098,1,0,0
5314,Hangman,1976,1.1127,2,2,6.0,10.0,10.0,0,0,0.0,0.0,0.0004332755632582,0.0,0.0,0.0,0.0,0.0,1,6.04104804729681,3.295836866004329,0.0,0.0,4.276666119016055,1,0,0
5275,Piercing the Reich,1995,3.5556,2,2,14.0,180.0,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0004498425551057,0.0,0.0,2,4.406719247264253,0.0,0.6931471805599453,0.0,2.302585092994046,0,1,0
