BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log
153065,Linko!,2014,1.3991,2,5,8.0,20.0,20.0,0,0,0.0,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,2,7.820974632331806,1.0986122886681098,0.0,1.3862943611198906,5.4116460518550396
174852,Pandánte (Second Edition),2015,2.0,2,6,10.0,30.0,30.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.981320906427481,0.0,0.6931471805599453,0.0,2.1972245773362196
260789,Assassin's Creed: Brotherhood of Venice,2021,2.8571,1,4,12.0,30.0,90.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.2285110035911835,0.0,0.6931471805599453,1.3862943611198906,2.0794415416798357
209530,Gwent: Nilfgaard and Northern Realms,2016,1.6667,2,2,8.0,5.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.966146739123692,1.0986122886681098,0.0,0.0,2.5649493574615367
139388,Emperor's New Clothes,2014,2.8182,2,8,7.0,15.0,15.0,0,1,0.0,0.0,0.0,0.0008203445447087777,0.0,0.0,0.0,0.0,1,3.283414346005772,0.0,0.0,0.0,2.4849066497880004
6689,Alien,1979,1.0,2,4,7.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.339467020255086,0.0,0.0,0.0,1.791759469228055
186755,Cadaver,2016,1.2,2,3,7.0,20.0,30.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.290459441148391,0.0,0.0,0.0,1.791759469228055
229892,Container: 10th Anniversary Jumbo Edition!,2018,2.9524,3,5,11.0,75.0,90.0,1,1,0.0021929824561403508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.284592262744811,0.6931471805599453,0.6931471805599453,0.0,3.7612001156935624
43023,Polizei-Alarm!,2009,1.1429,2,4,5.0,25.0,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,2,4.3652195163575005,1.9459101490553132,0.0,0.0,2.0794415416798357
12622,Hour of Glory: Stronghold Kit,2004,2.6316,2,4,11.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0011185682326621924,0.0,0.0,0.0,0.0,2,5.198497031265826,0.6931471805599453,0.6931471805599453,1.0986122886681098,2.995732273553991
5468,Snap: The Interlocking Dragon-Making Game,2002,1.2857,1,4,6.0,20.0,20.0,0,0,0.0,0.0009285051067780873,0.0,0.0,0.0,0.0,0.0,0.0015479876160990713,1,5.303304908059076,0.0,0.0,0.0,3.091042453358316
137141,Batman Miniature Game,2012,3.75,2,2,12.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.7930319231576615,0.0,0.6931471805599453,2.833213344056216,2.5649493574615367
22677,Stalin's War,2010,3.1429,2,2,13.0,240.0,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0013245033112582781,0.0,0.0,2,5.83967219534885,0.0,0.0,0.0,3.912023005428146
